Any,Data,Codi_Postal,Sector_Economic,Tram_Horari,Valor
2025,2025-01-01,08006,Indústria,De 06:00:00 a 11:59:59 h,773
2025,2025-01-01,08006,Indústria,De 12:00:00 a 17:59:59 h,785
2025,2025-01-01,08006,Indústria,De 18:00:00 a 23:59:59 h,792
2025,2025-01-01,08006,Indústria,No consta,0
2025,2025-01-01,08006,Residencial,De 00:00:00 a 05:59:59 h,38441
2025,2025-01-01,08006,Residencial,De 06:00:00 a 11:59:59 h,47072
2025,2025-01-01,08006,Residencial,De 12:00:00 a 17:59:59 h,63000
2025,2025-01-01,08006,Residencial,De 18:00:00 a 23:59:59 h,65837
2025,2025-01-01,08006,Residencial,No consta,0
2025,2025-01-01,08006,Serveis,De 00:00:00 a 05:59:59 h,39511
2025,2025-01-01,08006,Serveis,De 06:00:00 a 11:59:59 h,44142
2025,2025-01-01,08006,Serveis,De 12:00:00 a 17:59:59 h,49968
2025,2025-01-01,08006,Serveis,De 18:00:00 a 23:59:59 h,48025
2025,2025-01-01,08006,Serveis,No consta,0
2025,2025-01-01,08007,Indústria,De 00:00:00 a 05:59:59 h,498
2025,2025-01-01,08007,Indústria,De 06:00:00 a 11:59:59 h,679
2025,2025-01-01,08007,Indústria,De 12:00:00 a 17:59:59 h,722
2025,2025-01-01,08007,Indústria,De 18:00:00 a 23:59:59 h,625
2025,2025-01-01,08007,Indústria,No consta,0
2025,2025-01-01,08007,Residencial,De 00:00:00 a 05:59:59 h,11970
2025,2025-01-01,08007,Residencial,De 06:00:00 a 11:59:59 h,14403
2025,2025-01-01,08007,Residencial,De 12:00:00 a 17:59:59 h,16549
2025,2025-01-01,08007,Residencial,De 18:00:00 a 23:59:59 h,16345
2025,2025-01-01,08007,Residencial,No consta,0
2025,2025-01-01,08007,Serveis,De 00:00:00 a 05:59:59 h,26015
2025,2025-01-01,08007,Serveis,De 06:00:00 a 11:59:59 h,33578
2025,2025-01-01,08007,Serveis,De 12:00:00 a 17:59:59 h,38880
2025,2025-01-01,08007,Serveis,De 18:00:00 a 23:59:59 h,36934
2025,2025-01-01,08007,Serveis,No consta,0
2025,2025-01-01,08008,Indústria,De 00:00:00 a 05:59:59 h,14
2025,2025-01-01,08008,Indústria,De 06:00:00 a 11:59:59 h,11
2025,2025-01-01,08008,Indústria,De 12:00:00 a 17:59:59 h,14
2025,2025-01-01,08008,Indústria,De 18:00:00 a 23:59:59 h,20
2025,2025-01-01,08008,Indústria,No consta,0
2025,2025-01-01,08008,Residencial,De 00:00:00 a 05:59:59 h,2417
2025,2025-01-01,08008,Residencial,De 06:00:00 a 11:59:59 h,2710
2025,2025-01-01,08008,Residencial,De 12:00:00 a 17:59:59 h,3575
2025,2025-01-01,08008,Residencial,De 18:00:00 a 23:59:59 h,4233
2025,2025-01-01,08008,Residencial,No consta,0
2025,2025-01-01,08008,Serveis,De 00:00:00 a 05:59:59 h,2921
2025,2025-01-01,08008,Serveis,De 06:00:00 a 11:59:59 h,3361
2025,2025-01-01,08008,Serveis,De 12:00:00 a 17:59:59 h,4681
2025,2025-01-01,08008,Serveis,De 18:00:00 a 23:59:59 h,4521
2025,2025-01-01,08008,Serveis,No consta,0
2025,2025-01-01,08009,Indústria,De 00:00:00 a 05:59:59 h,203
2025,2025-01-01,08009,Indústria,De 06:00:00 a 11:59:59 h,221
2025,2025-01-01,08009,Indústria,De 12:00:00 a 17:59:59 h,231
2025,2025-01-01,08009,Indústria,De 18:00:00 a 23:59:59 h,228
2025,2025-01-01,08009,Indústria,No consta,0
2025,2025-01-01,08009,Residencial,De 00:00:00 a 05:59:59 h,10425
2025,2025-01-01,08009,Residencial,De 06:00:00 a 11:59:59 h,12622
2025,2025-01-01,08009,Residencial,De 12:00:00 a 17:59:59 h,16496
2025,2025-01-01,08009,Residencial,De 18:00:00 a 23:59:59 h,17648
2025,2025-01-01,08009,Residencial,No consta,0
2025,2025-01-01,08009,Serveis,De 00:00:00 a 05:59:59 h,10175
2025,2025-01-01,08009,Serveis,De 06:00:00 a 11:59:59 h,12125
2025,2025-01-01,08009,Serveis,De 12:00:00 a 17:59:59 h,14887
2025,2025-01-01,08009,Serveis,De 18:00:00 a 23:59:59 h,13473
2025,2025-01-01,08009,Serveis,No consta,0
2025,2025-01-01,08010,Indústria,De 00:00:00 a 05:59:59 h,338
2025,2025-01-01,08010,Indústria,De 06:00:00 a 11:59:59 h,482
2025,2025-01-01,08010,Indústria,De 12:00:00 a 17:59:59 h,517
2025,2025-01-01,08010,Indústria,De 18:00:00 a 23:59:59 h,433
2025,2025-01-01,08010,Indústria,No consta,0
2025,2025-01-01,08010,Residencial,De 00:00:00 a 05:59:59 h,14126
2025,2025-01-01,08010,Residencial,De 06:00:00 a 11:59:59 h,17290
2025,2025-01-01,08010,Residencial,De 12:00:00 a 17:59:59 h,21775
2025,2025-01-01,08010,Residencial,De 18:00:00 a 23:59:59 h,22330
2025,2025-01-01,08010,Residencial,No consta,0
2025,2025-01-01,08010,Serveis,De 00:00:00 a 05:59:59 h,16486
2025,2025-01-01,08010,Serveis,De 06:00:00 a 11:59:59 h,20718
2025,2025-01-01,08010,Serveis,De 12:00:00 a 17:59:59 h,24267
2025,2025-01-01,08010,Serveis,De 18:00:00 a 23:59:59 h,22992
2025,2025-01-01,08010,Serveis,No consta,0
2025,2025-01-01,08011,Indústria,De 00:00:00 a 05:59:59 h,260
2025,2025-01-01,08011,Indústria,De 06:00:00 a 11:59:59 h,531
2025,2025-01-01,08011,Indústria,De 12:00:00 a 17:59:59 h,727
2025,2025-01-01,08011,Indústria,De 18:00:00 a 23:59:59 h,442
2025,2025-01-01,08011,Indústria,No consta,0
2025,2025-01-01,08011,Residencial,De 00:00:00 a 05:59:59 h,8458
2025,2025-01-01,08011,Residencial,De 06:00:00 a 11:59:59 h,10254
2025,2025-01-01,08011,Residencial,De 12:00:00 a 17:59:59 h,13971
2025,2025-01-01,08011,Residencial,De 18:00:00 a 23:59:59 h,15011
2025,2025-01-01,08011,Residencial,No consta,0
2025,2025-01-01,08011,Serveis,De 00:00:00 a 05:59:59 h,20733
2025,2025-01-01,08011,Serveis,De 06:00:00 a 11:59:59 h,22818
2025,2025-01-01,08011,Serveis,De 12:00:00 a 17:59:59 h,24517
2025,2025-01-01,08011,Serveis,De 18:00:00 a 23:59:59 h,23517
2025,2025-01-01,08011,Serveis,No consta,0
